# number,type
4,2
6,2
14,4
15,12
16,1
21,2
33,8
36,1
38,9
41,8
46,2
47,2
49,8
52,4
56,1
67,8
68,15
70,5
73,3
74,12
76,5
82,12
85,1
87,8
89,8
98,2
106,1
107,1
112,12
113,1
115,1
116,3
119,12
122,3
132,8
145,12
146,2
147,11
149,2
150,8
155,2
157,2
163,1
165,2
170,3
173,1
179,1
186,5
190,14
192,5
206,5
209,1
214,3
215,3
222,1
225,12
226,8
230,3
231,3
234,2
238,5
239,4
241,1
242,1
248,5
249,15
250,2
252,5
254,5
257,2
258,3
263,12
264,1
276,11
277,12
280,5
283,3
287,12
288,12
290,12
292,1
294,14
295,8
296,1
310,1
316,5
326,14
328,2
332,5
337,1
338,2
339,3
340,3
342,2
344,12
347,12
355,1
358,11
359,8
360,3
361,1
373,13
374,3
375,3
378,3
386,3
388,5
394,3
402,2
405,8
408,3
419,2
423,1
425,11
427,1
432,14
436,3
444,3
446,3
450,9
452,8
454,8
456,11
457,3
461,12
464,12
465,3
466,9
481,11
484,8
486,5
487,9
495,5
496,5
497,5
500,2
513,2
516,3
519,1
521,12
524,12
528,3
529,12
535,3
544,8
547,5
548,5
549,5
551,1
562,12
564,3
571,12
580,3
592,3
593,3
596,12
602,12
605,11
611,5
615,8
621,3
622,3
624,12
643,15
647,3
648,5
656,3
657,3
667,1
674,1
676,1
680,18
682,14
685,1
686,1
692,3
693,3
694,12
697,2
698,11
707,11
710,1
719,1
726,2
737,5
745,12
755,1
756,1
757,12
759,1
760,1
763,5
769,1
785,9
788,8
791,1
792,8
794,2
796,16
800,15
802,1
