number,type
4,2
6,2
14,12
15,12
16,12
21,2
33,8
36,1
38,1
41,3
46,2
47,2
49,8
52,12
56,12
67,8
68,15
70,12
73,3
74,12
76,12
82,3
85,12
87,3
89,8
98,2
106,1
107,12
112,3
113,1
115,1
116,3
119,12
122,3
132,8
145,12
146,2
147,3
149,2
150,8
155,2
157,2
163,12
165,12
170,3
173,1
179,1
186,12
190,12
192,12
206,5
209,12
214,3
215,3
222,12
225,12
226,3
230,3
231,3
234,2
238,12
239,12
241,1
242,1
248,5
249,3
250,2
252,12
254,5
257,2
258,3
263,1
264,12
276,12
277,3
280,12
283,3
287,12
288,12
290,12
292,12
294,8
295,8
296,1
310,13
316,12
326,8
328,2
332,5
337,1
338,12
339,3
340,3
342,2
344,1
347,12
355,12
358,3
359,3
360,3
361,12
373,13
374,3
375,3
378,3
386,12
388,5
394,3
402,2
405,3
408,3
419,2
423,1
425,12
427,1
432,3
436,3
444,3
446,3
450,1
452,8
454,8
456,3
457,3
461,12
464,2
465,3
466,12
481,12
484,8
486,13
487,12
495,12
496,5
497,5
500,2
513,2
516,3
519,12
521,12
524,12
528,3
529,12
535,3
544,12
547,1
548,5
549,5
551,12
562,12
564,3
571,12
580,3
592,3
593,3
596,12
602,12
605,5
611,5
615,3
621,3
622,3
624,12
643,3
647,3
648,5
656,3
657,3
667,12
674,12
676,12
680,10
682,2
685,12
686,3
692,3
693,3
694,12
697,2
698,3
707,12
710,1
719,12
726,2
737,5
745,6
755,12
756,13
757,12
759,1
760,13
763,5
769,1
785,9
788,8
791,6
792,8
794,2
796,12
800,3
802,12
